u_mag,g_mag,r_mag,i_mag,zed_mag,Spec z
24.3905,24.3609,23.8508,23.5968,22.9993,1.3281
23.8834,24.0381,23.4914,22.8729,22.481,0.8829
25.0856,25.056,24.0406,23.9553,23.7631,0.3851
24.9953,25.1448,24.2982,23.7268,23.3769,0.7491
25.3763,25.5089,24.9434,24.4707,24.306,0.7294
25.8657,25.8769,24.8574,24.6837,24.4123,0.4677
23.8299,23.9123,23.3903,22.7661,22.3471,0.9131
25.7586,25.7506,24.7717,24.4635,24.2955,0.5348
24.9304,24.9448,24.6045,24.3492,23.7226,1.4795
24.7103,24.9269,24.3265,23.8505,23.3146,1.057
25.8164,25.9543,25.6573,25.067,24.6305,0.8641
24.7891,24.9423,24.6218,24.6926,24.7317,1.9102
25.7703,25.6708,25.2316,24.6593,24.4351,0.8155
25.7767,25.7561,24.5768,24.4727,23.9148,0.358
24.3089,24.4355,23.9395,23.4377,22.8498,1.0326
24.2605,24.1451,23.11,22.9453,22.6695,0.2854
24.6044,24.4446,23.2275,22.9593,22.6324,0.4013
25.901,25.7373,24.8869,24.6557,24.4176,1.0855
25.6394,25.7722,24.8088,23.9281,23.3805,0.9294
24.9201,25.0358,24.7159,24.6943,24.4309,1.6016
25.3834,25.5195,25.0414,24.4194,23.9584,0.9296
25.5024,25.6087,25.2203,24.7666,24.4657,0.7377
25.4125,25.3911,24.4888,24.2167,24.0737,0.5322
24.2581,24.1879,22.9544,22.6479,22.3794,0.4989
25.4457,25.4479,24.6848,24.2864,24.0364,0.6243
23.5655,23.3721,21.9639,21.5018,21.1154,0.5266
24.3706,24.3014,22.9763,22.6088,22.2356,0.4887
25.1725,25.0124,24.2809,23.9186,23.9067,0.6154
26.2727,26.0621,24.8979,23.9398,23.33,0.8608
25.6201,25.72,25.3493,25.4164,24.7865,1.3464
25.2106,25.0656,24.6776,24.4523,24.1515,1.6702
24.8092,25.0726,24.2215,23.9126,23.7937,0.6733
23.1162,23.1389,22.1983,21.7249,21.5004,0.661
26.0263,25.6726,24.2753,24.1636,23.9028,0.3984
25.0365,25.0148,23.7179,23.3816,23.0529,0.5091
24.9094,24.4557,23.7101,23.5944,23.1818,2.2822
24.2966,24.1516,23.7801,23.7306,23.4015,1.5486
25.4178,25.1266,24.9196,24.6437,24.3955,1.596
25.9586,25.7944,25.2056,24.6533,24.0391,1.8234
24.853,24.5441,23.8964,23.8496,23.5937,2.3113
23.9201,24.0351,23.7808,23.3422,23.0298,0.9917
24.8846,24.8308,24.1038,23.7333,23.6547,0.6518
24.7135,24.6213,23.9278,23.392,23.1581,0.7018
25.0683,24.934,23.6825,23.4326,23.1604,0.4819
24.9241,24.7849,24.513,24.4604,23.926,1.4386
26.7578,26.45,25.2676,24.8733,24.7346,3.1253
25.2022,24.5818,24.0842,24.0768,23.849,2.4
24.6268,24.4859,23.7353,23.3264,23.1212,0.66
26.2436,25.9598,25.4803,25.7531,25.1256,2.4288
25.9137,24.814,24.0223,23.9132,23.9041,3.0241
25.5971,25.3488,24.8206,24.6632,24.2896,0.8019
25.7605,25.4513,24.0778,23.8943,23.5962,0.3781
25.0293,24.9723,24.5285,23.9199,23.5774,0.9111
25.2201,25.2042,24.6491,24.0741,23.5685,1.0099
25.4591,25.459,25.223,25.105,24.9517,1.6003
24.6851,24.5455,24.2911,24.1661,23.9377,1.6095
26.3533,26.1369,25.6464,25.1652,24.3899,0.8932
25.3651,25.305,24.0653,23.9118,23.7141,0.4742
24.3201,24.1856,23.354,22.7671,22.4874,0.6959
24.5142,24.3326,23.1775,22.9101,22.6172,0.4827
25.2852,25.2494,24.8703,24.6462,24.1758,1.5211
24.8982,24.8524,23.956,23.6758,23.5697,0.559
26.7179,26.1902,25.3789,25.1048,24.7872,2.5137
25.2239,24.9681,23.8094,23.1755,22.931,0.6792
25.389,25.3437,24.8265,24.2974,24.0381,0.769
24.9781,24.9155,24.4818,24.2136,23.4544,1.1295
24.8278,24.5938,24.2151,24.2207,24.1898,2.2089
25.896,25.6733,25.2718,24.8001,24.4361,0.9514
25.5872,24.336,22.0289,21.3793,20.8826,0.428
